account_id,user_id,tariff_category_id,meter_id,subdivision
5842070942,U08345,LT2A1 - N,14002970,1400
4287972801,U45171,LT2A2 - N,14002907,1400
6086908314,U54696,LT2A2 - N,14002931,1400
7137464252,U36022,LT2A2 - N,14002917,1400
2617298722,U85935,LT2A2 - N,14002995,1400
2003555461,U83524,LT2A1 - N,14002985,1400
1342077260,U47738,LT2A2 - N,14002918,1400
4068958497,U02382,LT2A1 - N,14002931,1400
7748700233,U55953,LT2A2 - N,14002936,1400
6750886268,U63827,LT2A1 - N,14002910,1400
2463045791,U60028,LT2A1 - N,14002905,1400
4368896082,U82998,LT2A2 - N,14002939,1400
9884095393,U20777,LT2A1 - N,14002932,1400
9611618481,U12791,LT2A2 - N,14002912,1400
5443888274,U52306,LT2A2 - N,14002980,1400
4926543770,U69959,LT2A1 - N,14002949,1400
2615547032,U80263,LT2A1 - N,14002967,1400
4316186704,U18726,LT2A1 - N,14002907,1400
8829966512,U28906,LT2A2 - N,14002919,1400
4069739940,U84032,LT2A2 - N,14002918,1400
5809301622,U45825,LT2A2 - N,14002985,1400
6029207046,U24094,LT2A2 - N,14002922,1400
5215738647,U65443,LT2A1 - N,14002938,1400
9212816123,U67024,LT2A2 - N,14002943,1400
6726202547,U68578,LT2A2 - N,14002947,1400
1725911696,U09129,LT2A1 - N,14002971,1400
9479584196,U06568,LT2A1 - N,14002979,1400
1783430776,U91666,LT2A1 - N,14002910,1400
6425357030,U99058,LT2A1 - N,14002901,1400
5062936420,U03199,LT2A1 - N,14002995,1400
6325416505,U88152,LT2A2 - N,14002971,1400
2226156258,U22559,LT2A1 - N,14002909,1400
3740963723,U95578,LT2A1 - N,14002951,1400
7538072132,U71327,LT2A2 - N,14002958,1400
7279469265,U13316,LT2A2 - N,14002927,1400
4659015039,U04417,LT2A2 - N,14002997,1400
5974279661,U39200,LT2A2 - N,14002968,1400
5792581165,U76177,LT2A1 - N,14002969,1400
8095837618,U74137,LT2A1 - N,14002948,1400
4554922125,U60717,LT2A2 - N,14002964,1400
3890757814,U19942,LT2A2 - N,14002919,1400
2111986192,U86880,LT2A2 - N,14002998,1400
4074936587,U01874,LT2A2 - N,14002948,1400
1395723967,U33457,LT2A2 - N,14002918,1400
9066979520,U03633,LT2A2 - N,14002907,1400
9543306333,U98991,LT2A1 - N,14002957,1400
3541104149,U03925,LT2A2 - N,14002983,1400
1717207291,U67790,LT2A2 - N,14002922,1400
2711892283,U79398,LT2A1 - N,14002939,1400
3083517085,U53494,LT2A2 - N,14002934,1400
