reading_id,meter_id,starting_reading,end_reading
RID87907,14009822,2490.3146026399645,2980.3639035521246
RID70934,14004387,4646.254500806857,4705.553104668604
RID18425,14002980,3347.7973922746814,3835.187260027204
RID37365,14007380,1604.0370710470338,2121.306892137746
RID27386,14004591,4838.699827413171,4844.2090867542
RID26624,14001642,2546.6114894706598,2884.233026709241
RID51594,14005292,2302.8638892336835,2446.9890832137035
RID08104,14009136,2820.701782512535,3051.9178501267215
RID31096,14003110,1241.3401844230712,1914.8053587204095
RID54181,14008703,2317.298167346059,2730.7963436832774
RID58738,14004060,3009.7874423413487,3065.1040904192414
RID84579,14007397,4502.224311559206,4513.578159308946
RID29291,14004294,4313.1516409004835,4830.161002517874
RID24441,14005338,4572.790076480238,4600.928875333803
RID69844,14007461,4785.295910943585,5207.015387574622
RID80071,14004526,3775.192007194179,4001.9447718415554
RID43454,14007472,3257.3130808797823,3848.7982531029675
RID39052,14003254,2832.8341903660953,3044.2216048750834
RID68308,14005124,4903.0321873719295,4912.075480286712
RID77699,14001315,2255.7596971901185,2472.521270502839
RID46524,14009808,1853.0631118316317,1871.4053424509464
RID38911,14004045,1606.2288429036923,1834.1326017971328
RID72482,14007050,3162.9127727787654,3178.589008241706
RID07953,14009110,4145.333487720674,4153.512250161937
RID19746,14002777,2550.849081902821,2735.408611697589
RID73732,14002895,2620.638628623013,3379.3946103284034
RID20229,14007673,3976.465817668177,3985.354655678078
RID81047,14002927,4341.5325630324705,4596.307766204218
RID25473,14001863,1480.4524674615873,1868.5613021954782
RID97811,14000728,1413.0829727370435,1504.2704214332684
RID53150,14009308,1089.2943442454089,1282.5778874078576
RID08148,14004915,3358.9351867536902,3418.1843569968637
RID21292,14006677,4370.209475753953,4413.091547382499
RID25204,14003755,1809.3391798731177,1840.306120512213
RID84433,14009867,4587.898111278291,5011.3399763630405
RID41564,14005830,1340.9523996697774,1878.1726637971092
RID52442,14004617,4522.9870305229215,4807.871611808107
RID59725,14002961,3681.140425354837,3938.5737818602006
RID41141,14005115,1337.1519173832316,1371.6463331480852
RID44897,14004492,3325.8139475157586,3588.5698538640263
RID58038,14007497,2041.049133564623,2260.4454901316594
RID53347,14005024,3049.740073582602,3260.8923555371916
RID68609,14005352,2359.4368949851405,2759.5186894345907
RID61392,14006380,3763.297352943003,3879.0295752349807
RID85036,14005885,3390.5125745056876,3566.5972420635294
RID35952,14009826,3365.973642979019,3367.7482082890097
RID29897,14000959,4788.412328216857,4997.841819226604
RID03558,14002064,1972.4997641868742,2152.2073346994175
RID20187,14008080,3246.960137323727,3435.689244819639
RID88108,14005507,3753.2372839759546,4014.5473979269104
RID66217,14009679,3880.0471981692676,4136.906457734724
RID05273,14008247,2667.233241201051,2717.717039231918
RID02246,14003532,2729.838513604015,2930.08769134679
RID50724,14000429,3334.8955940567157,3612.1631995083376
RID20921,14005395,4981.244968008012,5003.1607855024995
RID01296,14001017,1323.200630505987,1346.7113419910024
RID22781,14005390,1195.506403880482,1309.3118437347898
RID83413,14008744,4921.974346757919,5677.956893376537
RID85797,14004928,3179.8655997814826,3261.0563968374427
RID31213,14000444,3640.4745566638458,3693.1951970802456
RID95861,14007814,4991.991690629928,5092.439090494846
RID10650,14002331,1163.0127618745646,1825.5777249900375
RID31887,14008967,4796.283412432882,4936.351236686876
RID76334,14000120,2187.6875756432055,2216.9235592196815
RID27328,14005438,4312.899917782041,4322.20688493744
RID35681,14001152,3661.691444781467,3721.3105336242497
RID38942,14006242,2678.6614475329898,2832.5215894874186
RID30320,14001265,2010.3842239612245,2418.6425855681196
RID48484,14002012,2286.808178278243,2301.472387202349
RID93669,14000688,2052.5048394130195,2314.836840886886
RID61678,14003432,4101.731988132273,4141.653633689623
RID75305,14006779,2020.4561660741529,2312.644269093933
RID80845,14005676,1825.982510318982,2368.1500031498845
RID09203,14001048,1514.0229641083488,1939.2813750164414
RID08425,14001200,3385.2968150263086,3951.3430874994365
RID47080,14006328,4771.98006000273,5038.648390988681
RID46824,14000873,2976.0801917445615,3570.3751725537795
RID72640,14004407,4698.000475557239,5456.10516585805
RID00239,14007733,4520.429040475885,4526.804761921174
RID89342,14009501,3336.1522770030356,3539.018479098381
RID59883,14002708,2488.8264361316064,2613.4841324087765
RID86870,14001293,2646.400417387628,2845.0517761860287
RID50299,14001577,3154.110262352206,3181.9714866209324
RID98198,14009228,1503.260141293187,1942.7003167508444
RID08438,14000492,4799.596851133627,4922.634607093952
RID59367,14004847,1850.7464014952234,2314.347265947915
RID96535,14000549,1910.8567032703422,1911.4512411710482
RID04460,14000876,2472.756490316455,2703.7382278709065
RID50543,14009204,3979.3170675902043,4090.103371872804
RID66100,14004380,2980.9625010864643,3020.8971309517683
RID15824,14008242,1410.1863081583708,1444.1730870648837
RID97152,14005731,4048.318468857035,4083.153367789387
RID60835,14009483,3971.5712400071993,4060.4891487936607
RID77552,14004022,3773.8553541703836,4179.189655873921
RID58192,14006846,3172.826930202952,3588.1079071862064
RID91660,14009017,4106.02167443654,4133.411375838555
RID10622,14002687,3399.0152257528343,3483.0859483102654
RID20024,14004055,2739.3040302077125,2772.303750056846
RID20899,14007693,3909.030826286266,4010.693591502
RID31552,14009910,4221.97230543892,4541.452840585395
